"cityName","dataTime","so2Value","coValue","o3Value","no2Value","pm10Value","pm25Value","lon","lat"
"노원구","2017-09-24 13:00","0.002","0.6","0.066","0.020","67","44",127.056793,37.6541917
"노원구","2017-09-25 01:00","0.002","0.5","0.022","0.033","46","26",127.056793,37.6541917
"노원구","2017-09-25 03:00","0.001","0.5","0.030","0.019","46","27",127.056793,37.6541917
"노원구","2017-09-24 20:00","0.002","0.6","0.076","0.014","71","54",127.056793,37.6541917
"노원구","2017-09-24 12:00","0.002","0.5","0.057","0.015","63","36",127.056793,37.6541917
"노원구","2017-09-25 04:00","0.002","0.4","0.034","0.014","46","30",127.056793,37.6541917
"노원구","2017-09-25 02:00","0.002","0.5","0.030","0.023","47","28",127.056793,37.6541917
"노원구","2017-09-25 05:00","0.002","0.4","0.030","0.016","46","28",127.056793,37.6541917
"노원구","2017-09-24 18:00","0.002","0.6","0.088","0.018","73","54",127.056793,37.6541917
"노원구","2017-09-24 23:00","0.002","0.5","0.045","0.021","41","24",127.056793,37.6541917
"노원구","2017-09-24 15:00","0.002","0.6","0.081","0.027","74","47",127.056793,37.6541917
"노원구","2017-09-24 11:00","0.002","0.5","0.041","0.019","65","34",127.056793,37.6541917
"노원구","2017-09-25 10:00","0.002","0.5","0.028","0.033","42","24",127.056793,37.6541917
"노원구","2017-09-25 08:00","0.002","0.6","0.010","0.037","43","27",127.056793,37.6541917
"노원구","2017-09-24 16:00","0.002","0.6","0.099","0.016","75","51",127.056793,37.6541917
"노원구","2017-09-25 09:00","0.002","0.5","0.018","0.034","41","26",127.056793,37.6541917
"노원구","2017-09-24 24:00","0.002","0.5","0.026","0.032","44","26",127.056793,37.6541917
"노원구","2017-09-24 22:00","0.002","0.4","0.058","0.011","44","30",127.056793,37.6541917
"노원구","2017-09-25 06:00","0.002","0.5","0.016","0.026","45","28",127.056793,37.6541917
"노원구","2017-09-24 21:00","0.002","0.5","0.071","0.011","65","49",127.056793,37.6541917
"노원구","2017-09-25 07:00","0.002","0.5","0.011","0.032","42","26",127.056793,37.6541917
"노원구","2017-09-24 17:00","0.002","0.6","0.095","0.017","73","52",127.056793,37.6541917
"도봉구","2017-09-24 20:00","0.004","0.6","0.068","0.014","68","46",127.0470706,37.6687738
"도봉구","2017-09-24 19:00","0.004","0.6","0.070","0.016","72","42",127.0470706,37.6687738
"도봉구","2017-09-24 23:00","0.004","0.5","0.041","0.021","36","22",127.0470706,37.6687738
"도봉구","2017-09-24 15:00","0.005","0.6","0.073","0.020","82","45",127.0470706,37.6687738
"도봉구","2017-09-25 03:00","0.003","0.5","0.032","0.014","41","19",127.0470706,37.6687738
"도봉구","2017-09-24 11:00","0.005","0.6","0.032","0.021","59","30",127.0470706,37.6687738
"도봉구","2017-09-25 08:00","0.003","0.6","0.008","0.034","42","22",127.0470706,37.6687738
"도봉구","2017-09-24 13:00","0.005","0.6","0.060","0.020","70","42",127.0470706,37.6687738
"도봉구","2017-09-24 18:00","0.004","0.6","0.074","0.017","73","50",127.0470706,37.6687738
"도봉구","2017-09-25 10:00","0.004","0.6","0.020","0.034","37","22",127.0470706,37.6687738
"도봉구","2017-09-24 14:00","0.005","0.6","0.065","0.020","91","42",127.0470706,37.6687738
"도봉구","2017-09-24 12:00","0.005","0.6","0.043","0.021","62","30",127.0470706,37.6687738
"도봉구","2017-09-25 02:00","0.003","0.5","0.036","0.016","40","23",127.0470706,37.6687738
"도봉구","2017-09-24 22:00","0.004","0.5","0.053","0.014","38","27",127.0470706,37.6687738
